mode,lambda_R,s_test,seed,active_fraction
baseline,0.2,0.01,1,0.0
baseline,0.2,0.01,2,0.0
baseline,0.2,0.01,3,0.0
baseline,0.2,0.02,1,0.0
baseline,0.2,0.02,2,0.0
baseline,0.2,0.02,3,0.0
baseline,0.2,0.03,1,0.0
baseline,0.2,0.03,2,0.0
baseline,0.2,0.03,3,0.0
baseline,0.2,0.04,1,0.0
baseline,0.2,0.04,2,0.0
baseline,0.2,0.04,3,0.0
baseline,0.2,0.05,1,0.0
baseline,0.2,0.05,2,0.0
baseline,0.2,0.05,3,0.0
baseline,0.2,0.06,1,0.0
baseline,0.2,0.06,2,0.0
baseline,0.2,0.06,3,0.0
baseline,0.2,0.07,1,0.0
baseline,0.2,0.07,2,0.0
baseline,0.2,0.07,3,0.0
baseline,0.2,0.08,1,0.0
baseline,0.2,0.08,2,0.0
baseline,0.2,0.08,3,0.0
baseline,0.2,0.09,1,0.0
baseline,0.2,0.09,2,0.0
baseline,0.2,0.09,3,0.0
baseline,0.2,0.1,1,0.0
baseline,0.2,0.1,2,0.0
baseline,0.2,0.1,3,0.0
baseline,0.2,0.12,1,0.0
baseline,0.2,0.12,2,0.0
baseline,0.2,0.12,3,0.0
baseline,0.2,0.15,1,0.0
baseline,0.2,0.15,2,0.0
baseline,0.2,0.15,3,0.0
baseline,0.8,0.01,1,0.0
baseline,0.8,0.01,2,0.0
baseline,0.8,0.01,3,0.0
baseline,0.8,0.02,1,0.0
baseline,0.8,0.02,2,0.0
baseline,0.8,0.02,3,0.0
baseline,0.8,0.03,1,0.0
baseline,0.8,0.03,2,0.0
baseline,0.8,0.03,3,0.0
baseline,0.8,0.04,1,0.0
baseline,0.8,0.04,2,0.0
baseline,0.8,0.04,3,0.0
baseline,0.8,0.05,1,0.0
baseline,0.8,0.05,2,0.0
baseline,0.8,0.05,3,0.0
baseline,0.8,0.06,1,0.0
baseline,0.8,0.06,2,0.0
baseline,0.8,0.06,3,0.0
baseline,0.8,0.07,1,0.0
baseline,0.8,0.07,2,0.0
baseline,0.8,0.07,3,0.0
